"ID"	"V"	"FRWAC_VFREQ"	"VTerminaison"	"CandidatN"	"NisPredicative"	"FRWAC_NFREQ"	"Source"	"CheckedBy"	"LastRevision"	"Validated"	"Commentaire"
7448	"fixer"	13000	"-er"	"fixage"	"TRUE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:32:42"	"TRUE"	
7447	"fixer"	13000	"-er"	"fixateur"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:54:34"	"TRUE"	
7449	"fixer"	13000	"-er"	"fixation"	"TRUE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:55:13"	"TRUE"	
7451	"fixer"	13000	"-er"	"fixe"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:57:04"	"TRUE"	
597	"annoncer"	12976	"-er"	"annonce"	"TRUE"	7892	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:34:52"	"TRUE"	
596	"annoncer"	12976	"-er"	"annonceur"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:57:17"	"TRUE"	
3000005	"annoncer"	12976	"-er"	"annonciation"	"TRUE"	7892	"VN_AUTO:2013-07-02"	"AB"	"2013-07-24 12:39:31"	"TRUE"	
3237	"consulter"	12952	"-er"	"consultation"	"TRUE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:57:33"	"TRUE"	
1381	"bénéficier"	12948	"-er"	"bénéfice"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:57:48"	"TRUE"	
89	"accompagner"	12909	"-er"	"accompagnateur"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:57:59"	"TRUE"	
90	"accompagner"	12909	"-er"	"accompagnement"	"TRUE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:58:12"	"TRUE"	
838	"associer"	12699	"-er"	"association"	"TRUE"	31981	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:34:52"	"TRUE"	
840	"associer"	12699	"-er"	"associé"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:58:37"	"TRUE"	
7024	"établir"	12640	"-er"	"établissement"	"TRUE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:58:53"	"TRUE"	
10445	"oublier"	12257	"-er"	"oubli"	"TRUE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:59:09"	"TRUE"	
15103	"viser"	12198	"-er"	"visa"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 20:00:53"	"TRUE"	
15102	"viser"	12198	"-er"	"visée"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:32:42"	"TRUE"	
15101	"viser"	12198	"-er"	"viseur"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:59:28"	"TRUE"	
12486	"rencontrer"	12109	"-er"	"rencontre"	"FALSE"	14216	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:34:52"	"TRUE"	
10685	"partager"	11814	"-er"	"partage"	"TRUE"	2561	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:34:52"	"TRUE"	
558	"analyser"	11729	"-er"	"analyse"	"TRUE"	12898	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:34:52"	"TRUE"	
559	"analyser"	11729	"-er"	"analyseur"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 20:01:21"	"TRUE"	
7665	"fournir"	11690	"-ir"	"fournisseur"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 20:01:30"	"TRUE"	
7666	"fournir"	11690	"-er"	"fourniture"	"TRUE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 20:01:43"	"TRUE"	
209	"adresser"	11521	"-er"	"adressage"	"TRUE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:32:42"	"TRUE"	
210	"adresser"	11521	"-er"	"adresse"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:32:42"	"TRUE"	
3202	"conseiller"	11380	"-er"	"conseil"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 20:01:56"	"TRUE"	
8882	"installer"	11349	"-er"	"installation"	"TRUE"	12286	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:34:52"	"TRUE"	
11160	"placer"	11345	"-er"	"place"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 20:02:15"	"TRUE"	
11163	"placer"	11345	"-er"	"placement"	"TRUE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:32:42"	"TRUE"	
